2024-12-11 09:23:12,042 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Configure stats pid to 22944
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Loading settings from C:\Users\eelil\.config\wandb\settings
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Loading settings from C:\Users\eelil\OneDrive\Desktop\Capstone\Machine_Learning_Analysis_of_Bank_Fraud\model\wandb\settings
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'model\\train_all_models.py', 'program_abspath': 'C:\\Users\\eelil\\OneDrive\\Desktop\\Capstone\\Machine_Learning_Analysis_of_Bank_Fraud\\model\\train_all_models.py', 'program': 'C:\\Users\\eelil\\OneDrive\\Desktop\\Capstone\\Machine_Learning_Analysis_of_Bank_Fraud\\model\\train_all_models.py'}
2024-12-11 09:23:12,043 INFO    MainThread:22944 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\eelil\OneDrive\Desktop\Capstone\Machine_Learning_Analysis_of_Bank_Fraud\model\wandb\run-20241211_092312-54t68zld\logs\debug.log
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\eelil\OneDrive\Desktop\Capstone\Machine_Learning_Analysis_of_Bank_Fraud\model\wandb\run-20241211_092312-54t68zld\logs\debug-internal.log
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:init():619] calling init triggers
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:init():669] starting backend
2024-12-11 09:23:12,044 INFO    MainThread:22944 [wandb_init.py:init():673] sending inform_init request
2024-12-11 09:23:12,046 INFO    MainThread:22944 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-11 09:23:12,047 INFO    MainThread:22944 [wandb_init.py:init():686] backend started and connected
2024-12-11 09:23:12,049 INFO    MainThread:22944 [wandb_init.py:init():781] updated telemetry
2024-12-11 09:23:12,066 INFO    MainThread:22944 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-11 09:23:12,359 INFO    MainThread:22944 [wandb_init.py:init():867] starting run threads in backend
2024-12-11 09:23:12,500 INFO    MainThread:22944 [wandb_run.py:_console_start():2456] atexit reg
2024-12-11 09:23:12,500 INFO    MainThread:22944 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-11 09:23:12,500 INFO    MainThread:22944 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-11 09:23:12,500 INFO    MainThread:22944 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-11 09:23:12,501 INFO    MainThread:22944 [wandb_init.py:init():911] run started, returning control to user process
2024-12-11 09:23:14,915 WARNING MsgRouterThr:22944 [router.py:message_loop():75] message_loop has been closed
